asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
^GSPC,index,2026-03-06 09:30:00,6769.03,6769.03,6734.37,6736.85,67556197.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-03-09 09:30:00,6699.8,6699.8,6670.74,6675.17,60074166.0,2 days 17:35:00,1,0,0,0
^GSPC,index,2026-03-10 09:30:00,6794.82,6798.96,6785.65,6788.26,120572960.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-05 09:30:00,22604.02,22676.22,22530.95,22672.29,187717788.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-06 09:30:00,22625.3,22749.75,22586.4,22721.64,220490683.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-09 09:30:00,22952.24,22986.82,22878.37,22967.54,180884832.0,2 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-10 09:30:00,23271.22,23283.89,23241.26,23248.62,189496704.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-11 09:30:00,23278.29,23320.62,23241.37,23252.14,226965931.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-12 09:30:00,23142.87,23161.6,23115.31,23122.09,153527831.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-13 09:30:00,22561.46,22613.89,22532.14,22533.82,167037976.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-17 09:30:00,22407.55,22509.9,22384.63,22507.83,160237689.0,3 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-18 09:30:00,22612.11,22656.96,22600.19,22605.6,151112178.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-19 09:30:00,22639.87,22683.16,22633.0,22643.29,140104770.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-20 09:30:00,22542.28,22660.21,22539.05,22649.38,143681520.0,0 days 17:35:00,1,0,0,0
